label,precision,recall,f1-score,support
allergy,0.9,0.9,0.9,10.0
arthritis,1.0,1.0,1.0,10.0
bronchial asthma,0.9090909090909091,1.0,0.9523809523809523,10.0
cervical spondylosis,1.0,1.0,1.0,10.0
chicken pox,0.9090909090909091,1.0,0.9523809523809523,10.0
common cold,0.9090909090909091,1.0,0.9523809523809523,10.0
dengue,0.8888888888888888,0.8,0.8421052631578947,10.0
diabetes,1.0,0.8,0.8888888888888888,10.0
drug reaction,1.0,1.0,1.0,8.0
fungal infection,1.0,1.0,1.0,9.0
gastroesophageal reflux disease,0.8181818181818182,0.9,0.8571428571428571,10.0
hypertension,0.9090909090909091,1.0,0.9523809523809523,10.0
impetigo,1.0,1.0,1.0,10.0
jaundice,1.0,0.8571428571428571,0.9230769230769231,7.0
malaria,1.0,1.0,1.0,10.0
migraine,1.0,0.9,0.9473684210526315,10.0
peptic ulcer disease,1.0,0.8,0.8888888888888888,10.0
pneumonia,1.0,0.9,0.9473684210526315,10.0
psoriasis,1.0,1.0,1.0,10.0
typhoid,0.8,0.8888888888888888,0.8421052631578947,9.0
urinary tract infection,0.8181818181818182,1.0,0.9,9.0
varicose veins,1.0,1.0,1.0,10.0
